GEO,mae,rmse,mape,r2,count
Alberta,31.13206681891324,46.40371900046134,21.932696018283337,0.17625963063625794,15331.0
British Columbia,27.49381228117813,40.0539392275881,20.026184996844254,0.18783181607606858,15394.0
"Calgary, Alberta",30.966332020164913,35.385484170006734,17.49668875103602,-0.024982124272580508,588.0
Canada,26.14534691939389,36.496295092397226,21.83318624248739,0.276780774353915,35772.0
"Charlottetown and Summerside, Prince Edward Island",22.115045804216752,34.29465873048074,12.332271243692903,0.01272332208900806,594.0
"Edmonton, Alberta",30.366275903264977,40.30179148222089,15.927887160478898,-0.08501728348011417,594.0
"Halifax, Nova Scotia",18.434046037278762,25.59490215297144,10.960500523684278,0.19160768360245262,594.0
"Iqaluit, Nunavut",0.6691698624272975,0.8605332892285753,0.4978421085787334,0.9848579639842869,113.0
Manitoba,27.277293705849644,38.930807164076015,19.678435086984226,0.17776636699201165,15380.0
"Montréal, Quebec",13.195706474670985,17.143216894197543,8.610698408103449,0.32748728835296126,588.0
New Brunswick,28.09553096941206,39.71151662743709,20.42939089843673,0.26076545541612917,15325.0
Newfoundland and Labrador,27.725798726715652,38.32131320342578,20.129350921574062,0.21589409925784242,15344.0
Nova Scotia,27.085652397985193,39.128702720035925,19.264218879769057,0.2542389093566991,15268.0
Ontario,29.63045092886076,44.654507514637324,20.582483550671153,0.1769498655446594,15475.0
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",20.283524299131695,24.118365479875514,12.579459052986621,0.1758716286338481,588.0
Prince Edward Island,27.80405667914403,39.50077793403117,20.04770352482597,0.23119292243721645,15173.0
Quebec,25.684705495211386,36.4417320756811,19.05727205550273,0.22834401296487383,15380.0
"Québec, Quebec",9.281809303654676,11.521427458083954,6.354809734042442,0.4227211023127424,588.0
"Regina, Saskatchewan",19.879405869025305,22.60639852199481,11.597804185387362,0.016804166850972302,588.0
"Saint John, New Brunswick",18.272905962387465,26.46195936901586,10.864352691276052,0.0025433475245013604,594.0
Saskatchewan,29.24979008875519,42.94185874114928,20.954792926849407,0.20213990972880846,15490.0
"Saskatoon, Saskatchewan",22.837434464145947,25.34723778441659,13.126547415672576,0.03628860677846957,588.0
"St. John's, Newfoundland and Labrador",22.790811281886107,28.8446419794671,13.193337670909457,-0.010127730964075043,588.0
"Thunder Bay, Ontario",16.364898319689196,22.707154710264003,10.731099476180248,-0.005073940088399453,588.0
"Toronto, Ontario",17.050096131911722,18.704417415145304,10.652764263740613,0.263340898553297,588.0
"Vancouver, British Columbia",9.093008356287172,11.571735326577512,6.041652608758671,0.5706797750376045,588.0
"Victoria, British Columbia",24.53715993546701,34.26866122910224,15.026235348348779,-0.11834885816085117,588.0
"Whitehorse, Yukon",26.024993898096294,37.11469671957844,19.890490019892347,0.14751830810096167,14201.0
"Winnipeg, Manitoba",14.69047046381415,17.254922595655625,8.951828778003948,0.3088510850980517,588.0
"Yellowknife, Northwest Territories",29.056010164494378,39.936061725341276,21.35633698240299,0.19819073628608552,14216.0
